ZINC Number	Mol Weight	Formula	Smiles	Pathway	Mean (30 mM)	Stdev (30 mM)
ZINC44695731	338.36	C19H18N2O4	CN(CC(=O)Oc1ccc2c(c1)CCC(=O)N2)C(=O)c3ccccc3	CD36	0.76	0.09
ZINC44717703	313.32	C18H16FNO3	Cc1ccccc1OC(=O)[C@@H]2CC(=O)N(C2)c3ccccc3F	GLN path	1.08	0.04
ZINC44836360	271.35	C17H21NO2	CCOc1cccc(c1O)CNc2c(cccc2C)C	TRP path	0.73	0.10
ZINC44839708	324.37	C19H20N2O3	CCN(c1ccccc1)C(=O)COc2ccc3c(c2)CCC(=O)N3	CD36	0.84	0.14
ZINC44845789	275.33	C14H19N4O2	c1cnc(nc1N2CCCC2)N3CCC(CC3)C(=O)[O-]	Calcineurin1	0.99	0.07
ZINC44845813	289.35	C15H21N4O2	c1cnc(nc1N2CCCCC2)N3CCC(CC3)C(=O)[O-]	Calcineurin1	1.02	0.07
ZINC44889411	340.37	C19H20N2O4	COc1ccccc1OCCNC(=O)c2ccc3c(c2)CCC(=O)N3	CD36	1.01	0.05
ZINC44894494	273.35	C14H15N3OS	c1ccnc(c1)CNC(=O)N2CCc3c(ccs3)C2	FASII-PDIM metabolism	0.81	0.04
ZINC44909316	298.34	C17H18N2O3	CCN(Cc1ccco1)C(=O)c2ccc3c(c2)CCC(=O)N3	CD36	0.78	0.08
ZINC44912580	316.40	C17H24N4O2	Cc1cc2nc(c(c(n2n1)C)CCC(=O)N3CCOC[C@@H]3C)C	Calcineurin1	0.83	0.14
ZINC44912636	297.73	C14H16ClNO4	C[C@H]1COCCN1C(=O)c2cc3c(c(c2)Cl)OCCO3	PI3K	0.92	0.10
ZINC44920831	299.37	C17H21N3O2	c1ccc2c(c1)ccn2CCC(=O)N3CCC(CC3)C(=O)N	FASII-PDIM metabolism	0.83	0.10
ZINC44936948	333.41	C15H19N5O2S	C[C@H]1CN(CCO1)c2ccc(c[nH+]2)CNC(=O)Nc3nccs3	HIS path	0.79	0.31
ZINC44954921	333.38	C16H16FN3O2S	CC(=O)Nc1nc(cs1)C(=O)NCC2(CC2)c3ccc(cc3)F	Lip	0.88	0.01
ZINC44967378	340.83	C15H17ClN2O3S	c1cc(ccc1C[C@@H](CO)NC(=O)NCc2ccc(s2)Cl)O	Proteasome I-lact-mg 132	0.70	0.28
ZINC45051482	332.57	C12H8Cl3N3O2	c1cc(=O)[nH]cc1C(=O)NNc2c(cc(cc2Cl)Cl)Cl	CD36	0.94	0.20
ZINC45248701	266.34	C17H18N2O	c1ccc(cc1)[C@H]2c3cccn3CCN2C(=O)C4CC4	Lip	1.06	0.14
ZINC45405652	296.79	C15H21ClN2O2	CC[C@@H](c1ccc(cc1)Cl)NC(=O)N2CCC[C@@H](C2)O	Autophagy	0.86	0.11
ZINC45496588	290.31	C15H18N2O4	C[C@@H]1CN([C@@H](CO1)C)C(=O)/C=C/c2cccc(c2)[N+](=O)[O-]	HIS path	1.02	0.13
ZINC45737099	349.40	C18H24FN3O3	C[C@H]1COCCN1C(=O)NC2CCN(CC2)C(=O)c3ccccc3F	GLN path	0.94	0.06
ZINC46025851	338.43	C18H18N4OS	c1cc2c(c[nH]c2nc1)C3=CCN(CC3)C(=O)NCc4ccsc4	PI3K	1.08	0.09
ZINC46087064	332.40	C17H24N4O3	C[C@@H]1CN(C[C@H](O1)C)c2ncc3c(n2)CN(C3=O)C[C@@H]4CCCO4	GLN path	0.87	0.04
ZINC46087981	324.38	C18H20N4O2	C[C@@H](c1ccccc1)N2Cc3c(cnc(n3)N4CCOCC4)C2=O	GLN path	0.90	0.08
ZINC46156834	316.42	C17H20N2O2S	COCc1cccc(c1)CNC(=O)N2CCc3c(ccs3)C2	FASII-PDIM metabolism	1.09	0.09
ZINC46189491	344.39	C17H16N2O4S	CN(CC(=O)Oc1ccc2c(c1)CCC(=O)N2)C(=O)c3cccs3	CD36	0.81	0.13
ZINC46223699	299.30	C17H14FNO3	c1ccc(cc1)N2C[C@@H](CC2=O)C(=O)Oc3cccc(c3)F	GLN path	0.99	0.04
ZINC47510436	344.33	C18H15F3N4	c1cc2c(c[nH]c2nc1)C3=CCN(CC3)c4c(cccn4)C(F)(F)F	PI3K	1.73	0.49
ZINC47555458	318.39	C15H18N4O2S	Cc1cc([nH]n1)NC(=O)C2CCN(CC2)C(=O)c3cccs3	GLN path	0.97	0.04
ZINC47615501	331.39	C17H23N4O3	Cc1nc(no1)COc2ccc(cc2)C(=O)NC3CC[NH+](CC3)C	ATPase	1.04	0.06
ZINC47629469	339.39	C19H21N3O3	CN(CCc1ccccn1)C(=O)COc2ccc3c(c2)CCC(=O)N3	CD36	0.76	0.11
ZINC47717893	250.31	C14H19FN2O	CNC(=O)NCC1(CCCC1)c2ccc(cc2)F	Lip	1.01	0.06
ZINC47816097	267.10	C11H9BrNO2	Cc1cc(c(c(c1)Br)O)C(=O)NCC#C	Autophagy	1.01	0.10
ZINC47822249	255.77	C11H14ClN3S	C=CCn1c(nnc1SCC(=C)Cl)C2CC2	HIS path	0.97	0.03
ZINC47843755	251.31	C15H15N4	c1ccc(cc1)n2cc(c(n2)c3ccncc3)C[NH3+]	ABC transporters	0.86	0.07
ZINC47871828	262.35	C15H22N2O2	CCC[C@@H](c1ccccc1)C(=O)NCCNC(=O)C	HIS path	0.98	0.03
ZINC48262069	344.47	C19H24N2O2S	Cc1cc(sc1C)C(=O)N(C)Cc2ccc(cc2)N3CCOCC3	GLN path	0.83	0.20
ZINC48301260	306.36	C15H22N4O3	c1cc(ncc1[N+](=O)[O-])NC[C@H]([C@H]2CCOC2)[NH+]3CCCC3	HIS path	0.89	0.09
ZINC48301736	317.43	C18H27N3O2	CC1CCC(CC1)N(C)C(=O)c2ccc(nc2)N3CCOCC3	GLN path	0.92	0.17
ZINC48302374	332.42	C16H20N4O2S	Cc1cc(n(n1)C)NC(=O)C2CCN(CC2)C(=O)c3cccs3	GLN path	0.92	0.12
ZINC48398021	281.76	C12H12ClN3OS	C=CCn1c(nnc1SCC(=C)Cl)c2ccco2	HIS path	1.07	0.04
ZINC48439120	267.33	C16H17N3O	c1cc2c(c[nH]c2nc1)C3=CCN(CC3)C(=O)C4CC4	PI3K	1.02	0.07
ZINC48543337	294.36	C16H23FN2O2	C[C@H](CO)NC(=O)NCC1(CCCC1)c2ccc(cc2)F	Lip	1.09	0.12
ZINC48606732	261.34	C14H15NO2S	Cc1ccsc1C(=O)N(C)Cc2ccccc2O	Autophagy	0.75	0.07
ZINC48627925	289.37	C15H17N2O2S	Cc1c(sc(n1)C)[C@H](C)/N=C/c2cccc(c2O)OC	PI3K	1.06	0.11
ZINC48645485	256.30	C14H16N4O	CNC(=O)N1CCC(=CC1)c2c[nH]c3c2cccn3	PI3K	1.09	0.10
ZINC48732410	311.22	C14H19BrN2O	CCNC(=O)NCC1(CCC1)c2cccc(c2)Br	Lip	1.11	0.16
ZINC48735952	289.76	C16H16ClNO2	CN(Cc1cccc(c1)O)C(=O)Cc2ccccc2Cl	Autophagy	0.78	0.21
ZINC48921568	261.32	C14H18FN4	Cc1cc([nH+]c(n1)N)N(C)CCc2ccc(cc2)F	Autophagy	1.16	0.19
ZINC49102197	319.21	C12H12Cl2N2O2S	CCn1ccnc1S(=O)(=O)Cc2ccc(c(c2)Cl)Cl	Cations channels	0.74	0.10
ZINC49164724	330.34	C16H12NO5S	Cc1c(cco1)/C(=C(\C#N)/C(=O)c2ccc(cc2)S(=O)(=O)C)/[O-]	HIS path	1.09	0.03
ZINC49166352	297.24	C15H9N2O5	Cc1c(cco1)/C(=C(\C#N)/C(=O)c2cccc(c2)[N+](=O)[O-])/[O-]	HIS path	1.05	0.02
ZINC49337795	302.35	C11H18N4O4S	Cc1c(oc(n1)NC(=O)N2CCN(CC2)S(=O)(=O)C)C	PI3K	1.01	0.04
ZINC49517723	269.14	C11H13BrN2O	CNC(=O)NC1(CC1)c2ccc(cc2)Br	Lip	1.07	0.02
ZINC49521031	288.37	C15H16N2O2S	Cn1cccc(c1=O)C(=O)NCC2(CC2)c3cccs3	Lip	1.20	0.19
ZINC49967885	277.38	C16H25N2O2	CCN(c1ccccc1)C(=O)[C@H](C)[NH+]2CCC(CC2)O	Autophagy	0.69	0.11
ZINC50002921	295.38	C19H21NO2	c1ccc2c(c1)CCC[C@@H]2C(=O)NCc3ccccc3CO	Autophagy	0.76	0.08
ZINC50682026	337.41	C17H27N3O4	CC(C)(C)OC(=O)NCCC(=O)[C@@H](C#N)C(=O)NC1CCCCC1	Proteasome I-lact-mg 132	0.87	0.12
ZINC51654985	329.37	C17H15NO4S	C[S@](=O)c1ccc(cc1)C(=O)Oc2ccc3c(c2)CCC(=O)N3	CD36	0.84	0.12
ZINC52041717	339.43	C20H25N3O2	Cc1ccc(cc1OC)C(=O)N2CC[NH+](CC2)CCc3ccncc3	GLN path	1.03	0.01
ZINC53018979	345.37	C18H20FN3O3	Cc1c(c(on1)C)C(=O)NC2CCN(CC2)C(=O)c3ccccc3F	GLN path	1.01	0.01
ZINC53095976	275.41	C17H27N2O	CN(C)C(=O)C1CC[NH+](CC1)CCCc2ccccc2	Autophagy	0.82	0.17
ZINC53140302	317.29	C16H13F2N3O2	c1cnccc1NC(=O)[C@@H]2CC(=O)N(C2)c3cc(cc(c3)F)F	GLN path	1.14	0.12
ZINC53324211	302.41	C18H26N2O2	CC[C@@H](c1ccccc1)C(=O)NCCC(=O)NC2CCCC2	HIS path	1.00	0.01
ZINC53548588	305.40	C14H19N5OS	CC(C)CN(C1CC1)C(=O)CSc2ncc(c(n2)N)C#N	Proteasome I-lact-mg 132	0.82	0.10
ZINC53602235	319.44	C21H25N3	C[C@@H](CC#N)N1CCN(CC1)C(c2ccccc2)c3ccccc3	ABC transporters	1.03	0.10
ZINC53811127	325.43	C19H25N4O	C[C@H](C(=O)Nc1ccccc1)N2CC[NH+](CC2)Cc3ccccn3	ABC transporters	0.76	0.10
ZINC53897486	316.32	C15H19F3N2O2	C[C@H](C(=O)Nc1ccc(c(c1F)F)F)[NH+]2CCC(CC2)OC	Autophagy	0.93	0.04
ZINC53956503	324.42	C20H24N2O2	COC1CCN(CC1)C(=O)NC(c2ccccc2)c3ccccc3	ABC transporters	0.99	0.08
ZINC54281351	274.34	C13H14N4OS	Cc1ccccc1C(=O)N/N=C(/C)\c2csc(n2)N	Autophagy	0.72	0.22
ZINC54426346	296.36	C18H20N2O2	CC(C)Oc1ccc(cc1)[C@H]2Nc3ccccc3C(=O)N2C	Lip	0.83	0.08
ZINC54460091	316.42	C18H26N3O2	C[NH+]1CCC(CC1)NC(=O)c2ccc(cc2)N3CCCCC3=O	ATPase	0.98	0.09
ZINC54701996	306.36	C19H18N2O2	CCOc1ccc(cc1)[C@H]2Nc3ccccc3C(=O)N2CC#C	Lip	0.81	0.11
ZINC54916934	311.27	C16H10FN3O3	c1cc2c(cccn2)c(c1)NC(=O)c3ccc(cc3F)[N+](=O)[O-]	HIS path	1.06	0.04
ZINC55068114	333.45	C18H23NO3S	C[C@@H](c1ccc(cc1)S(=O)(=O)C)NC(=O)C=C(C2CC2)C3CC3	PI3K	0.76	0.12
ZINC55119167	304.41	C16H20N2O2S	CC[C@H](CO)N(Cc1cccs1)C(=O)c2cnccc2C	Proteasome I-lact-mg 132	1.14	0.27
ZINC55180444	262.33	C12H14N4OS	C[NH+]1CCC2(CC1)[C@@H](C(=NC(=S)[C@H]2C#N)[O-])C#N	Proteasome inducers	0.85	0.54
ZINC55180527	276.36	C13H16N4OS	CC[NH+]1CCC2(CC1)[C@@H](C(=NC(=S)[C@H]2C#N)[O-])C#N	Proteasome inducers	0.78	0.08
ZINC55199689	328.86	C15H21ClN2O2S	c1cc(sc1CNC[C@@]2(CCCN(C2=O)CC3CC3)O)Cl	TRP path	1.09	0.04
ZINC55207648	314.38	C17H16NO3S	c1ccc(cc1)COc2cccc(c2)[C@H]3N[C@@H](CS3)C(=O)[O-]	CYS path	0.83	0.15
ZINC55393491	343.42	C21H21N5	Cc1cccc(c1)c2ncc(cn2)CN(C)Cc3[nH]c4ccccc4n3	ATPase	1.00	0.05
ZINC55553157	337.80	C19H16ClN3O	c1cc(cc(c1)Cl)C(=O)N2CCC(=CC2)c3c[nH]c4c3cccn4	PI3K	1.27	0.17
ZINC55553332	335.42	C19H17N3OS	c1cc2c(c[nH]c2nc1)C3=CCN(CC3)C(=O)/C=C/c4ccsc4	PI3K	1.25	0.18
ZINC55564249	309.41	C19H23N3O	C[C@H](C(=O)Nc1ccccc1)N2CCN(CC2)c3ccccc3	ABC transporters	0.97	0.06
ZINC55742777	343.44	C18H21N3O2S	Cc1c(scn1)C(=O)Nc2ccc(cc2)C(=O)N3CCCCCC3	GLN path	0.86	0.08
ZINC55752973	337.42	C20H23N3O2	Cc1cc(ccc1NC(=O)c2ccncc2)C(=O)N3CCC(CC3)C	GLN path	0.92	0.10
ZINC05586339	325.41	C18H23N5O	CN(C)c1ccc(cc1)C(=NNC(=O)N)c2ccc(cc2)N(C)C	E3 ligase	1.02	0.08
ZINC55866946	335.40	C20H21N3O2	Cc1c(c(on1)C)C(=O)Nc2ccc(cc2)N(C)Cc3ccccc3	GLN path	0.85	0.11
ZINC56227017	330.33	C18H16F2N2O2	CN(c1ccc(c(c1)F)F)C(=O)[C@@H]2CC(=O)N(C2)c3ccccc3	GLN path	0.79	0.17
ZINC56499765	324.38	C18H20N4O2	Cc1ccc(cc1)C(=O)N2CCN(CC2)C(=O)Nc3ccncc3	GLN path	1.02	0.02
ZINC56679264	339.43	C20H25N3O2	C[C@@H]1CN(CCO1)C(=O)Nc2ccc(cc2)N(C)Cc3ccccc3	GLN path	0.97	0.27
ZINC57024255	323.43	C20H25N3O	C[C@H](C(=O)N(C)c1ccccc1)N2CCN(CC2)c3ccccc3	ABC transporters	1.00	0.04
ZINC57024340	327.40	C19H22FN3O	C[C@H](C(=O)Nc1ccccc1)N2CCN(CC2)c3ccccc3F	ABC transporters	1.15	0.02
ZINC57217532	193.05	C8H7Cl2F	c1cc(c(c(c1)Cl)CCCl)F	Calcineurin1	1.02	0.09
ZINC57219381	320.31	C14H19F3N2O3	CC(C)Oc1ccccc1CNC(=O)NC[C@H](C(F)(F)F)O	Proteasome I-lact-mg 132	0.99	0.08
ZINC57220388	280.36	C15H24N2O3	CC[C@@H](CO)NC(=O)NCc1ccccc1OC(C)C	Proteasome I-lact-mg 132	0.78	0.08
ZINC57290201	251.30	C13H18FN3O	C[C@H](C(=O)N)N1CCN(CC1)c2ccc(cc2)F	ABC transporters	0.98	0.04
ZINC57315319	328.36	C17H14NO4S	c1ccc(cc1)C(=O)Oc2ccc(cc2)[C@@H]3N[C@@H](CS3)C(=O)[O-]	CYS path	1.07	0.08
ZINC57322009	263.34	C14H21N3O2	C[C@H](C(=O)N)N1CCN(CC1)c2ccc(cc2)OC	ABC transporters	0.77	0.05
ZINC57470883	264.33	C14H20N2O3	C/C(=N\N1CCOCC1)/c2ccc(c(c2)OC)OC		0.96	0.05
ZINC57508696	289.42	C15H21N4S	C[NH+](C)CCSc1nnc(n1CC=C)c2ccccc2	HIS path	0.91	0.11
ZINC57624716	286.39	C16H18N2OS	Cc1cccc(c1)NCC(=O)N2CCc3c(ccs3)C2	FASII-PDIM metabolism	1.12	0.04
ZINC57755227	246.37	C16H24NO	CCOC1CC[NH+](CC1)C/C=C/c2ccccc2	Autophagy	0.70	0.08
ZINC57855340	318.43	C17H22N2O2S	C[C@@H](Cc1ccsc1)NC(=O)N[C@@H](Cc2ccccc2)CO	Proteasome I-lact-mg 132	0.85	0.10
ZINC57899493	263.36	C14H17NO2S	CCOc1ccc(cc1)SCc2c(noc2C)C	GLN path	0.97	0.04
ZINC58016428	349.43	C21H23N3O2	CCN(Cc1ccc(cc1)N(C)C)C(=O)c2ccc(cc2)c3cnco3	GLN path	0.92	0.07
ZINC58058562	310.39	C19H22N2O2	COCc1cccc(c1)NC(=O)NCC2(CC2)c3ccccc3	Lip	0.93	0.07
ZINC58105060	318.37	C20H18N2O2	C=CCN(Cc1ccccc1)C(=O)c2ccc(cc2)c3cnco3	GLN path	0.96	0.08
ZINC58203051	269.26	C11H18F3NO3	C[C@@H]1CN(C[C@@H](O1)C)C(=O)C[C@@](C)(C(F)(F)F)O	TRP path	0.78	0.03
ZINC58244306	349.38	C20H19N3O3	CN(Cc1[nH]c2ccccc2n1)C(=O)/C=C/c3ccc4c(c3)OCCO4	ATPase	1.23	0.13
ZINC58245568	319.44	C16H17NO2S2	COc1ccccc1SCC(=O)N2CCc3c(ccs3)C2	FASII-PDIM metabolism	1.00	0.09
ZINC58278026	315.31	C15H19F2NO4	CC1(COCCN1C(=O)c2ccc(c(c2)OC)OC(F)F)C	PI3K	0.81	0.10
ZINC58323244	280.36	C15H23FN3O	CC[C@H](C(=O)N)N1CC[NH+](CC1)Cc2ccccc2F	ABC transporters	1.00	0.10
ZINC58325081	318.44	C17H28N5O	Cc1cc(nc(n1)N)N2CCN(CC2)C(=O)CC3CCCCC3	PI3K	0.99	0.13
ZINC58356348	345.34	C18H17F2N3O2	c1ccc(cc1)C[C@H]([C@@H](C(F)F)O)NC(=O)Nc2cccc(c2)C#N	Proteasome I-lact-mg 132	0.91	0.14
ZINC58424110	330.46	C20H30N2O2	Cc1cccc(c1C)C(=O)N2CCC(CC2)CCN3CCOCC3	GLN path	0.83	0.14
ZINC58527351	271.38	C16H17NOS	Cc1ccc(cc1)CC(=O)N2CCc3c(ccs3)C2	FASII-PDIM metabolism	1.05	0.09
ZINC58593284	253.15	C9H10Cl2O2S	CCS(=O)(=O)Cc1ccc(c(c1)Cl)Cl	Cations channels	0.98	0.08
ZINC58733284	329.39	C18H23N3O3	C[C@H]1CCC[C@@H]([C@@H]1C)NC(=O)COc2nnc(o2)c3ccccc3	HIS path	1.33	0.03
ZINC58759056	289.37	C17H23NO3	C[C@@H]1C[C@H]1C(=O)NCC(C)(C)c2ccc3c(c2)OCCO3	PI3K	0.70	0.24
ZINC58759412	275.34	C16H21NO3	CC(C)(CNC(=O)C1CC1)c2ccc3c(c2)OCCO3	PI3K	1.03	0.12
ZINC06383023	257.31	C14H17N4O	c1ccc(cc1)C[NH+]2CCc3c(c(=O)nc([nH]3)N)C2	E3 ligase	0.95	0.05
